RBT-80 per-season series, conventional population, all nine arms.
Committed so sections 1, 3 and 5 of the report are re-derivable by
someone other than the author (adversary finding 7; RBT-86).
No genomes are shipped: these are aggregate per-season numbers only.

## mean_lifetime_score by season  (section 3: yield = seeded - control)

season A:seeded   A:control  A:drift    B:seeded   B:control  B:drift    C:seeded   C:control  C:drift   
   217     1.2144     0.5358     0.2350     1.0028     0.7368     0.4226     1.0990     0.6612     0.1087
   218     1.1846     0.5677     0.2300     1.0333     0.6857     0.4179     1.1223     0.6081     0.1165
   219     1.1769     0.5500     0.2095     1.0032     0.6666     0.4104     1.1195     0.6314     0.1347
   220     1.1236     0.5381     0.1964     1.0288     0.7347     0.4116     1.1149     0.6698     0.1224
   221     1.1689     0.5400     0.2138     1.0052     0.7092     0.4097     1.1210     0.7181     0.1209
   222     1.2320     0.5337     0.2181     0.9920     0.6837     0.4118     1.1726     0.6435     0.1195
   223     1.2442     0.6120     0.2195     0.9972     0.6577     0.4091     1.1978     0.6668     0.1184
   224     1.2100     0.7036     0.2412     1.0131     0.6583     0.3924     1.1811     0.6402     0.1067
   225     1.2202     0.5987     0.2023     1.0106     0.6170     0.3354     1.1801     0.5955     0.1610
   226     1.2613     0.6488     0.1925     0.9814     0.6607     0.3453     1.1632     0.6351     0.1551
   227     1.2552     0.6727     0.1685     0.9659     0.6362     0.3411     1.2312     0.6236     0.1401
   228     1.2826     0.6251     0.1901     1.0601     0.6327     0.3093     1.1643     0.5727     0.1818
   229     1.2180     0.6212     0.1626     0.9972     0.7233     0.3155     1.1178     0.5922     0.1475
   230     1.2160     0.6257     0.2177     1.0047     0.6580     0.3412     1.1082     0.5689     0.0569
   231     1.2600     0.6049     0.2130     1.0307     0.6355     0.3465     1.1398     0.5772     0.0949
   232     1.2110     0.6067     0.1339     0.9881     0.6398     0.4016     1.0849     0.6590     0.0921
   233     1.2061     0.6137     0.1318     0.8944     0.6001     0.3936     1.0308     0.6554     0.1017
   234     1.1758     0.5888     0.1729     0.8308     0.6435     0.4232     1.0575     0.6569     0.2327
   235     1.1713     0.5758     0.2124     0.8945     0.5910     0.3548     1.0307     0.7146     0.2476
   236     1.2086     0.5804     0.2494     0.9227     0.5621     0.3475     1.1232     0.7003     0.2106
   237     1.2717     0.6325     0.2144     0.9340     0.5611     0.3266     1.0782     0.6781     0.1771
   238     1.1681     0.6034     0.3147     0.9265     0.6530     0.2966     1.0044     0.6272     0.0870
   239     1.1232     0.6074     0.3937     0.8643     0.6155     0.1317     0.9145     0.6114     0.0976
   240     1.1286     0.7068     0.3537     0.8573     0.5513     0.1430     1.0631     0.5856     0.0364
   241     1.1397     0.6604     0.3331     0.8338     0.5395     0.1167     1.1756     0.6178     0.0400
   242     1.2072     0.6339     0.3213     0.8643     0.5865     0.1918     1.0751     0.6209     0.0857
   243     1.1506     0.5974     0.3056     0.8822     0.5753     0.2017     1.0198     0.6259     0.0544
   244     1.1318     0.5555     0.2884     0.9192     0.5262     0.1792     0.9540     0.6144     0.0977
   245     1.2578     0.6158     0.3125     0.8553     0.5502     0.1706     0.9235     0.6732     0.0926
   246     1.1432     0.6254     0.2913     0.8549     0.5851     0.1684     0.9954     0.7126     0.0916
