season  pop           alive  births  deaths  best/mean lifetime  mean age  max age
   243  conventional     60       0       0  5.533/0.909           31.6       57
   244  holistic         60       0       0  3.241/1.284           32.9       53
   244  conventional     60       0       0  3.034/0.860           32.6       58
   245  holistic         60       0       0  3.231/1.279           33.9       54
   245  conventional     60       0       0  2.201/0.828           33.6       59
   246  holistic         60       0       0  3.290/1.271           34.9       55
   246  conventional     60       2       2  2.534/0.806           33.5       59
   247  holistic         60       0       0  3.178/1.276           35.9       56
   247  conventional     60       2       2  1.928/0.777           33.5       59
   248  holistic         60       0       0  3.170/1.284           36.9       57
   248  conventional     60       1       1  1.529/0.795           33.5       59
   249  holistic         60       0       0  3.070/1.277           37.9       58
   249  conventional     60       3       3  1.461/0.757           33.4       59
   250  holistic         60       0       0  3.067/1.275           38.9       59
   250  conventional     60       1       1  1.475/0.729           33.4       59
   251  holistic         60       1       1  3.122/1.248           38.9       57
   251  conventional     60       6       6  1.438/0.695           32.3       59
   252  holistic         60       0       0  3.088/1.265           39.9       58
   252  conventional     60       2       2  1.414/0.660           31.3       59
   253  holistic         60       0       0  3.056/1.251           40.9       59
   253  conventional     60       4       4  1.207/0.632           30.2       59
   254  holistic         60       1       1  3.080/1.237           40.9       56
   254  conventional     60       4       4  1.647/0.676           30.1       59
