RBT-107 design adversary: power of the directional (one-sided) tests the coordinator asked for, on the design's own
measured null, with its heavy tail kept, and the n each needs.
null rows (seed: A_NB co-evolved, designed) from design_power.txt: 1: +0.380 +0.027, 2: +0.006 +0.225, 3: +1.153 -0.374, 4: +0.125 +0.045, 7: -0.019 -0.108, 801: -0.034 +0.055, 804: -0.082 -0.134, 805: +0.031 +0.198, 806: +0.066 +0.081, 807: +0.000 -0.049
RMS co-evolved 0.388 (no seed 3: 0.139); designed 0.166; paired co - des 0.506 (no seed 3: 0.159); corr(co, des) across seeds -0.66
smoothing bandwidth (co-evolved, designed): 0.036, 0.074; no seed 3: 0.029, 0.064

== DES  null EMPIRICAL  d~240 as measured
   +0.20  10    0.715    0.797    0.938    0.707    0.600
   +0.20  15    0.864    0.925    0.988    0.931    0.792
   +0.20  20    0.940    0.973    0.997    0.985    0.886
   +0.20  30    0.987    0.994    0.999    1.000    0.973
   +0.20  40    0.997    0.999    1.000    1.000    0.993
   +0.30  10    0.929    0.907    0.982    0.888    0.887
   +0.30  15    0.990    0.966    0.994    0.991    0.970
   +0.30  20    0.998    0.992    0.997    0.999    0.993
   +0.30  30    1.000    1.000    1.000    1.000    1.000
   +0.30  40    1.000    1.000    1.000    1.000    1.000

== CO  null GAUSS  scaled to d=800 (x1.83)
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.051    0.043    0.060    0.011    0.025
   +0.00  15    0.052    0.047    0.055    0.020    0.024
   +0.00  20    0.047    0.046    0.056    0.020    0.022
   +0.00  30    0.053    0.048    0.053    0.047    0.027
   +0.00  40    0.050    0.047    0.051    0.043    0.025
   +0.10  10    0.107    0.089    0.116    0.027    0.058
   +0.10  15    0.132    0.126    0.134    0.048    0.074
   +0.10  20    0.161    0.151    0.155    0.064    0.096
   +0.10  30    0.186    0.175    0.175    0.144    0.110
   +0.10  40    0.219    0.203    0.201    0.150    0.136
   +0.20  10    0.200    0.176    0.197    0.059    0.124
   +0.20  15    0.276    0.259    0.257    0.106    0.174
   +0.20  20    0.334    0.319    0.310    0.147    0.224
   +0.20  30    0.444    0.426    0.415    0.335    0.326
   +0.20  40    0.543    0.516    0.496    0.375    0.408
   +0.30  10    0.334    0.301    0.309    0.097    0.226
   +0.30  15    0.460    0.443    0.415    0.210    0.337
   +0.30  20    0.577    0.561    0.524    0.295    0.442
   +0.30  30    0.732    0.708    0.674    0.573    0.616
   +0.30  40    0.829    0.813    0.785    0.646    0.738

