population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
conventional	ce457	180	0	29.601460	0	14	7	3.194017	3.885475	15.972851	6.549117	0	0
holistic	he429	181	0	0	0	0	8	0	0	0	0	0	0
holistic	he430	181	1.396742	2.996553	1	3	4	0	0	1.330829	1.665724	0.275299	0
conventional	ce458	183	0	18.514408	0	14	7	3.619684	2.933752	6.997212	4.963760	0	0
conventional	ce459	184	0	23.842082	0	14	7	4.683318	2.005893	11.895230	5.257641	0	0
holistic	he431	185	0	0	0	0	4	0	0	0	0	1.123792	0
conventional	ce460	185	0	20.170362	0	14	7	3.370528	2.236455	10.103657	4.459722	0	0
conventional	ce461	185	0	28.603138	0	14	7	4.713447	5.149914	11.656694	7.083083	2.090596	0
conventional	ce462	186	0	44.832256	0	14	7	4.697286	6.718382	24.138950	9.277638	0	0
conventional	ce463	186	0	37.958741	0	14	7	4.857672	3.722712	19.244641	10.133716	1.850853	0
conventional	ce464	187	2.181626	22.441058	1	14	7	3.280331	1.949253	11.755817	5.455657	0	0
holistic	he432	188	0	0	0	0	6	0	0	0	0	0.345962	0
conventional	ce465	188	0	52.988232	0	14	7	4.684842	6.687457	29.980257	11.635676	0	0
conventional	ce466	189	0	18.442206	0	14	7	3.544406	1.204738	8.551284	5.141778	0	0
conventional	ce467	189	0	37.369227	0	14	7	4.450209	7.392101	17.720038	7.806879	0	0
conventional	ce468	189	0	18.032021	0	14	7	5.087252	2.859483	4.330514	5.754772	0	0
holistic	he433	190	0	0	0	0	4	0	0	0	0	0	0
conventional	ce469	190	0	20.764553	0	14	7	3.499955	1.206354	11.969555	4.088689	0	0
conventional	ce470	191	0	38.385120	0	14	7	6.294810	6.253454	17.037938	8.798918	0.185227	0
conventional	ce471	191	0	18.257220	0	14	7	2.787902	1.392240	8.526307	5.550771	0	0
holistic	he434	192	0	0	0	0	6	0	0	0	0	0.345962	0
holistic	he435	192	0	0	0	0	3	0	0	0	0	0.576470	0
conventional	ce472	192	0	16.048541	0	14	7	1.653539	0.625434	8.525607	5.243961	0	0
conventional	ce473	192	0	39.535409	0	14	7	3.556962	8.183475	20.410689	7.384283	0	0
conventional	ce474	193	0	17.522162	0	14	7	1.451363	1.028887	8.105241	6.936671	0	0
conventional	ce475	193	0	44.850900	0	14	7	3.426052	5.378745	26.520480	9.525623	0	0
conventional	ce476	193	0	17.948458	0	14	7	1.314176	1.103375	11.009254	4.521653	0	0
conventional	ce477	194	0.821988	33.854345	1	14	7	3.896667	6.172784	15.332155	8.452739	0	0
